horse_id,sire,dam,bms
2020104634,ヘニーヒューズHenny Hughes(米),スフィンクス,リンカーン
2019103122,リオンディーズ,ショウナンガッド,フジキセキ
2020104086,リアルスティール,ホットサマーデイ,アポインテッドデイ
2019101920,スクリーンヒーロー,レディオブオペラ,Singspiel(愛)
2018104895,モーリス,アドマイヤシーマ,ディープインパクト
2018104881,ハーツクライ,アガルタ,キングカメハメハ
2019100668,ディープインパクト,ロードクロサイト,Unbridled's Song(米)
2019102628,ミッキーアイル,ゴールドグレース,エリシオHelissio(仏)
2018105115,ジャスタウェイ,セルキスSelkis(独),Monsun
2020103679,リアルスティール,リアリサトリスRealisatrice(仏),Numerous
2020104285,ビッグアーサー,オービーレディー,コマンダーインチーフCommander in Chief(英)
2018102576,キングカメハメハ,キャトルフィーユ,ディープインパクト
2021105370,モーリス,アドマイヤリード,ステイゴールド
2021106369,グレーターロンドン,ギャルソンヌ,Henrythenavigator(米)
2021106069,ジャングルポケット,ポッドシルビア,ダノンシャンティ
2021100350,リアルスティール,キーウエスト,ネオユニヴァース
2021105871,リアルインパクト,ルミナスパレード,シンボリクリスエス
2021104167,サトノアラジン,ラストメッセージ,ジャングルポケット
2021105382,キズナ,アルビアーノ,Harlan's Holiday
2021101928,ドレフォンDrefong(米),マローブルー,ディープインパクト
2021105777,モーリス,ボージェスト,キングカメハメハ
2021105608,アルアイン,スネガエクスプレス,ウォーエンブレムWar Emblem(米)
2019103823,シルバーステート,アンブラッセモワ,Zoffany
2018105008,キングカメハメハ,クルミナル,ディープインパクト
2019100792,スクリーンヒーロー,マイネトゥインクル,ムタファーウエクMutafaweq(米)
2019104658,ハーツクライ,ウィンドハックWindhuk(独),Platini(独)
2018105192,キングカメハメハ,ヒカルアマランサス,アグネスタキオン
2017103201,オルフェーヴル,ダンシングクイーン,Giant's Causeway(米)
2019102879,ハーツクライ,サラトガヴィーナス,ブライアンズタイムBrian's Time(米)
2016104711,ハーツクライ,アビラAbyla(英),ロックオブジブラルタル
2020105744,ゴールドシップ,オレゴンレディOregon Lady(愛),Shamardal(米)
2015100744,ステイゴールド,マイネテレジア,ロージズインメイRoses in May(米)
2019105532,エピファネイア,ルールブリタニア,ディープインパクト
2017103751,ネオユニヴァース,サクラレーヌ,シンボリクリスエス
2017104756,キングカメハメハ,サンシャイン,ハーツクライ
2020106967,ダノンバラード,キタノリツメイ,アイルハヴアナザーI'll Have Another(米)
2017102897,ルーラーシップ,アグネスワルツ,ゼンノロブロイ
2016104319,ディープインパクト,ミゼリコルデ,ファスリエフFasliyev(米)
2020105631,ハービンジャーHarbinger(英),スーリール,スペシャルウィーク
2018101742,シニスターミニスターSinister Minister(米),ベターナウBetter Now(米),サンダーガルチThunder Gulch(米)
2020105650,バゴBago(仏),ユースティティア,フジキセキ
2019101325,トビーズコーナーToby's Corner(米),オトメローズ,アサクサデンエン
2020104861,ヘニーヒューズHenny Hughes(米),タマモボレロ,ハーツクライ
2017101159,ルーラーシップ,アイアムカミノマゴ,アグネスタキオン
2018103278,ダンカークDunkirk(米),ヒシアルコル,ダイワメジャー
2017103788,バーディバーディ,サトノアーチ,マンハッタンカフェ
2019105188,キンシャサノキセキ,ゲットクローサー,ワイルドラッシュWild Rush(米)
2017102043,タイムパラドックス,ピンクサプライズ,ネオユニヴァース
2017104168,リアルインパクト,チアフルCheerful(愛),Caerleon(米)
2018105237,ルーラーシップ,ブロンシェダーム,ディープインパクト
2019102163,パイロPyro(米),フォーミー,アドマイヤマックス
2020101228,ラニ,パスザトーチ,ファンタスティックライトFantastic Light(米)
2019106146,ジャスタウェイ,フレンチドール,フレンチデピュティFrench Deputy(米)
2020100189,リアルスティール,アルテーロ,ハービンジャーHarbinger(英)
2017101877,ベーカバドBehkabad(仏),ヒカリヴィグラス,サウスヴィグラス
2021104109,キズナ,サマーソワレSummer Soiree(米),War Front
2021102150,シニスターミニスターSinister Minister(米),バーレーヘッズ,スペシャルウィーク
2021105640,Curlin(米),ダンシングラグズDancing Rags(米),Union Rags
2021100284,ラブリーデイ,コンゴウプリンセス,エンパイアメーカーEmpire Maker(米)
2021110123,Into Mischief,Good Vibes,Unbridled's Song(米)
2021102836,マジェスティックウォリアーMajestic Warrior(米),メイショウメイホウ,オルフェーヴル
2021100741,サンダースノーThunder Snow(愛),ホッコーユニバース,アグネスタキオン
2021103251,リアルスティール,パールオブアフリカ(愛),Jeremy
2021103270,シニスターミニスターSinister Minister(米),メイショウサンアイ,ディープインパクト
2021103972,アメリカンペイトリオット,パーティークィーン,アグネスタキオン
2021104321,キズナ,ホワットアスポットWhat a Spot(米),Arch(米)
2021110075,Practical Joke(米),Sovereign Halo,Haynesfield
2021106754,ラニ,カスクドール,ダンスインザダーク
2021105840,アジアエクスプレス,ラトーナ,Dansili
2021101723,エピファネイア,オモテナシIIOmotenashi(米),Henrythenavigator(米)
2021103496,サトノクラウン,グレイスミノル,バゴBago(仏)
2021105477,ドレフォンDrefong(米),カールファターレ,キングカメハメハ
2021104557,カレンブラックヒル,キタノシャンシャン,タートルボウルTurtle Bowl(愛)
2021101259,ドレフォンDrefong(米),ダウンタウンブギ,アサクサキングス
2021107295,アポロケンタッキー,ピコット,ハーツクライ
2021103023,レイデオロ,レベッカRebecca(米),Event of the Year
2021105055,ニューイヤーズデイ,ザッハーマイン,Mineshaft(米)
2021106761,シルバーステート,コンフォータブル,ザールXaar(英)
2021106196,ジャスタウェイ,ウインガーネット,ヴィクトワールピサ
2021105147,マインドユアビスケッツMind Your Biscuits(米),ナチュラルスタンス,フジキセキ
2021102242,リオンディーズ,フォローガーネット,サンライズペガサス
2021101618,マジェスティックウォリアーMajestic Warrior(米),メイマドンナ,シンボリクリスエス
2021102020,レッドファルクス,スクリーンデビュー,スクリーンヒーロー
2021102961,デクラレーションオブウォー,アドマイヤヒナタ,キングカメハメハ
2021102507,デクラレーションオブウォー,エアマスカット,ジャングルポケット
2021103886,ドゥラメンテ,レッドラフィーネ,ハービンジャーHarbinger(英)
2021103915,マジェスティックウォリアーMajestic Warrior(米),フロリアード,クロフネ
2021103583,キタサンブラック,オアシスクイーン,シニスターミニスターSinister Minister(米)
2021105003,パドトロワ,カンカンガール,Exchange Rate
2021105916,イスラボニータ,ワナダンスWanna Dance(亜),The Leopard
2021101725,ブリックスアンドモルタルBricks and Mortar(米),キングスミール,Theatrical
2021104151,ホッコータルマエ,プロテクトジアース,アフリートAfleet(加)
2021101584,カレンブラックヒル,マッシヴエレガンス,ディープブリランテ
2021107178,ロードカナロア,エリティエール,ディープインパクト
2021106125,Goldencents,コンクェストハードキャンディConquest Hardcandy(米),Candy Ride
2021101298,メイショウボーラー,サンヘレナ,パイロPyro(米)
2021102162,ラブリーデイ,アンドリエッテ,ディープインパクト
2021101760,サトノダイヤモンド,ヤマノグラス,バブルガムフェロー
2021106296,ヘニーヒューズHenny Hughes(米),アルマレイモミ,Uncle Mo(米)
2021102031,キタサンブラック,マンドゥラMandura(独),Danehill Dancer(愛)
2021104454,リアルインパクト,アドマイヤジョイ,ルーラーシップ
2021102156,レイデオロ,ショウサンミーベル,フジキセキ
2021102665,サンダースノーThunder Snow(愛),スイートハート,ワークフォースWorkforce(英)
2021102236,コパノリッキー,テーオーレイチェル,キングカメハメハ
